LinkID;LinkIDFrom;LinkIDTo;Qmax_spl;Qkap;Qskut;Vskut;Hskut_h;Hskut_d;Qhmax;Q24
2275762;559313;63536;5.8125;1942.1859;1497.973;2.5294;325.1447;324.7675;5.7093;3.9399
2275763;56532;861935;6.3873;773.6992;879.3997;3.0751;323.9702;323.7286;6.3438;5.1814
2275767;310362;559493;0.0059;124.1578;16.2428;0.5936;327.1284;327.1266;0.0059;0.0059
2453726;742583;742582;0.1117;83.9755;71.1364;1.2212;343.3066;343.1701;0.1089;0.0658
2453727;742582;742581;0.133;88.0625;66.6964;0.9428;343.1701;343.1171;0.1298;0.0784
2453728;742581;64187;0.138;77.1514;103.4949;1.463;343.1171;342.8021;0.1346;0.0814
2456255;747032;747033;0.7851;181.8397;0.3051;0.3051;352.5736;352.1395;0.7623;0.4596
2456256;747033;747034;0.8917;189.5913;0.3457;0.3457;352.1395;350.76;0.8656;0.5219
2456885;747034;747035;0.892;178.185;0.3453;0.3453;350.76;350.378;0.8656;0.5219
2456886;747035;747036;0.892;275.5708;0.345;0.345;350.378;345.6988;0.8656;0.5219
2456887;747036;747037;0.8913;224.9557;0.3438;0.3438;345.6988;343.7267;0.8656;0.5219
2456888;747030;747031;0.7862;193.1638;0.3062;0.3062;354.2571;353.4789;0.7622;0.4596
2456889;747031;747032;0.7856;195.5244;0.3057;0.3057;353.4789;352.5736;0.7622;0.4596
2456890;747037;747038;0.8912;167.8262;0.3431;0.3401;343.7267;342.2648;0.8655;0.5219
2456891;747038;248822;0.8888;72.8413;0.3821;0.2411;342.2648;341.2809;0.8636;0.5219
2456893;Fik11;61720;1.1278;5050.7556;2020.6439;2.5707;333.394;333.3337;0.5691;0.3215
2457527;748027;528614;0.1225;4886.311;3330.2305;3.2709;335.3759;335.2629;0.1225;0.1225
2457530;748028;1401116;0.1663;253.2909;31.6967;0.3762;326.542;326.5374;0.1621;0.1167
2457531;748029;748028;0.1294;253.3848;27.5864;1.0459;326.5475;326.542;0.1261;0.0908
2457532;61740;748029;0.0456;253.3848;26.0304;1.2879;327.0967;326.5475;0.0444;0.032
2500413;798889;798888;0.1503;144.5102;0.0953;0.0953;294.3759;294.1673;0.148;0.1121
2500414;798890;798889;0.1131;147.9539;0.0718;0.0718;295.2051;294.3759;0.1113;0.0844
2500415;798891;798890;0.0591;136.8219;0.0375;0.0375;295.4139;295.2051;0.0581;0.044
2500416;798892;798891;0.0358;155.3587;0.0228;0.0228;295.993;295.4139;0.0352;0.0267
2500725;799192;799193;0.6148;226.4233;128.7213;1.741;355.8479;355.1779;0.6026;0.4223
2484083;781023;781022;0.1089;122.1381;19.8059;1.1537;354.0885;353.8869;0.1065;0.074
2484084;781025;781023;0.1089;122.1381;19.8005;1.1532;354.2712;354.0885;0.1065;0.074
2484093;781282;56547;20.4726;494.2212;544.629;1.9247;314.5907;314.3843;19.5108;14.3962
2484094;56546;781282;20.4707;736.636;544.6637;2.1378;314.8912;314.5907;19.5217;14.3963
2484095;56549;781283;20.6196;482.6949;588.5922;2.6685;312.9773;312.7827;19.6228;14.5125
2484096;781283;56548;20.6248;780.8624;547.7887;3.0713;312.7827;311.9953;19.6195;14.5152
2485370;56479;206963;2.2083;750.9098;554.628;2.8111;348.5864;348.4426;2.1652;1.41
2485372;206964;56482;2.2403;842.949;590.3799;3.3176;347.7364;347.445;2.1962;1.4308
2485374;209462;310503;0.0924;2002.1762;4.3771;1.3092;377.1162;373.8855;0.0924;0.0924
2485376;783540;644309;0.2995;1723.4718;50.1494;1.313;364.0443;361.5642;0.2992;0.2992
2485685;755361;64131;12.2987;1849.8462;2670.4876;2.9381;342.8748;342.7004;11.9757;7.4456
2485686;617799;755361;12.2915;3390.9739;2739.6703;3.4354;343.1091;342.8748;11.9746;7.4414
2485687;51285;783210;1.1924;251.3045;178.1461;2.0027;333.964;333.5377;1.1815;0.6575
267985;49795;49797;0.2361;105.8081;66.4081;1.5353;337.7543;337.6636;0.2345;0.1764
2679937;1036324;1036323;0.0094;71.0444;32.4352;1.3454;374.1996;373.9868;0.0094;0.0094
2679938;1036323;1036322;0.0268;113.4771;58.2253;2.3283;373.9868;372.7834;0.0265;0.0201
2679939;1036322;1036321;0.0268;122.6433;58.095;1.7721;372.7834;371.6766;0.0266;0.0201
2679940;1036321;1036320;0.0383;84.3791;81.0573;1.9639;371.6766;370.9526;0.0379;0.0261
2679941;1036320;1036316;0.0383;170.6696;80.3245;2.1664;370.9526;368.5884;0.038;0.0261
2679942;1036630;1036629;0.0048;77.9805;25.8523;1.4281;378.9494;378.6237;0.0047;0.0038
2679944;1036629;1035684;0.0172;180.5295;25.5121;2.5137;378.6237;375.2367;0.0169;0.0106
2679945;1035684;1036323;0.0174;168.4075;25.6647;1.4579;375.2367;373.9868;0.0171;0.0107
2679946;1036319;1036631;0.0685;123.6912;95.9948;1.954;365.6976;365.6693;0.0682;0.0427
2683776;1040799;120252;0.1912;4033.773;90.0057;1.883;295.0105;293.9784;0.1912;0.1912
2684096;1040802;769488;0.1293;158.1797;47.6889;1.9593;285.573;284.5869;0.127;0.0963
2300779;584225;584224;3.0051;53.6835;20.1542;1.0218;366.4663;366.2094;0.2252;0.014
2300780;584224;584223;3.0817;110.8371;19.7421;1.0292;366.2094;366.2093;0.3414;0.0858
2300781;584223;584222;2.9741;23.6488;18.7558;0.7999;366.2093;366.205;0.3399;0.0862
2300782;584222;584221;2.9111;97.1659;23.9247;1.1879;366.205;366.1992;0.3379;0.0861
2300783;584221;584220;2.8772;77.6483;27.3989;0.5861;366.1992;366.1952;0.3315;0.0859
2300784;584220;584219;2.8712;41.9721;48.1259;0.9796;366.1952;366.1299;0.3701;0.1117
2300785;584219;584218;2.6011;41.3406;51.9386;1.0708;366.1299;366.0659;0.3662;0.1117
2300786;584218;584217;2.4055;62.0556;60.6774;1.3418;366.0659;365.6472;0.3635;0.1117
2300787;584217;61455;2.2611;84.5252;113.7961;2.3164;365.6472;364.8988;0.4521;0.1783
2302706;979996;50679;0.1418;54.17;100.9808;1.1544;357.1402;356.9917;0.1383;0.0971
